test,effective_n,runtime_uniform_s,runtime_amr_s,runtime_ratio_amr_over_uniform,updates_uniform_total,updates_amr_total,updates_ratio_amr_over_uniform,amr_updates_level0,amr_updates_level1,amr_updates_level2
1,100,0.00596625,0.006635042,1.1120958726168029,54800,54800,1.0,54800,0,0
1,200,0.018108041,0.023507,1.2981525721087115,220000,153072,0.6957818181818182,55600,97472,0
1,400,0.052343584,0.077873459,1.4877364721529196,880000,717248,0.8150545454545455,56000,106752,554496
2,100,0.005482666,0.005294958,0.9657633713233671,42000,42000,1.0,42000,0,0
2,200,0.013281542,0.019403041,1.4609027325290993,166400,151952,0.9131730769230769,42000,109952,0
2,400,0.040542667,0.074138417,1.828651701675176,662400,914384,1.3804106280193236,42000,114880,757504
3,100,0.007301083,0.007891208,1.080827049904788,65200,65200,1.0,65200,0,0
3,200,0.020108541,0.02348425,1.167874387306369,258400,155072,0.6001238390092879,65600,89472,0
3,400,0.061926792,0.069852375,1.1279831030162195,1030400,693344,0.672888198757764,66400,89600,537344
4,100,0.00718425,0.007069625,0.9840449594599298,60000,60000,1.0,60000,0,0
4,200,0.019213791,0.02214025,1.1523103379234216,238400,146048,0.6126174496644295,60800,85248,0
4,400,0.057756875,0.063855541,1.1055920355801798,950400,642768,0.6763131313131313,61200,81088,500480
5,100,0.011484667,0.011826083,1.0297279842767753,106400,106400,1.0,106400,0,0
5,200,0.032241709,0.041061458,1.2735509150585038,423200,351392,0.8303213610586011,106400,244992,0
5,400,0.101909542,0.148275167,1.4549684366160727,1684800,2010912,1.1935612535612536,106400,241280,1663232
