test,mode,metric,case,variable,L1,L2,Linf,xlo,xhi
1,uniform,rotation_xy,xsplit_vs_ysplit,rho,0.0,0.0,0.0,0.00125,0.99875
1,uniform,rotation_xy,xsplit_vs_ysplit,u,0.0,0.0,0.0,0.00125,0.99875
1,uniform,rotation_xy,xsplit_vs_ysplit,p,0.0,0.0,0.0,0.00125,0.99875
1,uniform,rotation_xy,xsplit_vs_ysplit,eint,0.0,0.0,0.0,0.00125,0.99875
1,uniform,exact_1d,xsplit_vs_exact,rho,0.005133715948958779,0.012876670442449514,0.13150417071060944,0.00125,0.99875
1,uniform,exact_1d,xsplit_vs_exact,u,0.009516801418403402,0.05131205863121253,0.8484631266644683,0.00125,0.99875
1,uniform,exact_1d,xsplit_vs_exact,p,0.004677171592757931,0.0139322058794454,0.19206655570209513,0.00125,0.99875
1,uniform,exact_1d,xsplit_vs_exact,eint,0.017198499578003665,0.06676454644317323,0.784469703515311,0.00125,0.99875
1,uniform,exact_1d,ysplit_vs_exact,rho,0.005133715948958779,0.012876670442449514,0.13150417071060944,0.00125,0.99875
1,uniform,exact_1d,ysplit_vs_exact,u,0.009516801418403402,0.05131205863121253,0.8484631266644683,0.00125,0.99875
1,uniform,exact_1d,ysplit_vs_exact,p,0.004677171592757931,0.0139322058794454,0.19206655570209513,0.00125,0.99875
1,uniform,exact_1d,ysplit_vs_exact,eint,0.017198499578003665,0.06676454644317323,0.784469703515311,0.00125,0.99875
1,uniform,diag_xy,diag_xslice_vs_yslice,rho,0.0008467785128248385,0.0016682424618362716,0.00829630803274034,0.00125,0.99875
1,amr,rotation_xy,xsplit_vs_ysplit,rho,2.4388278338991505e-16,3.784755570388522e-16,2.3314683517128287e-15,0.0025,0.9975
1,amr,rotation_xy,xsplit_vs_ysplit,u,5.13415709615689e-16,1.2050368296936728e-15,1.4654943925052066e-14,0.0025,0.9975
1,amr,rotation_xy,xsplit_vs_ysplit,p,2.1205856366067294e-16,3.6234391632354557e-16,3.524958103184872e-15,0.0025,0.9975
1,amr,rotation_xy,xsplit_vs_ysplit,eint,1.1004555038886393e-15,1.8279114288122467e-15,1.4654943925052066e-14,0.0025,0.9975
1,amr,exact_1d,xsplit_vs_exact,rho,0.003976774337784301,0.010523521785706615,0.08092527269649952,0.0025,0.9975
1,amr,exact_1d,xsplit_vs_exact,u,0.004945872115122771,0.0276587017987581,0.5749012424351132,0.0025,0.9975
1,amr,exact_1d,xsplit_vs_exact,p,0.0026469753530913936,0.007382463144995986,0.10401423596811046,0.0025,0.9975
1,amr,exact_1d,xsplit_vs_exact,eint,0.01694695920075168,0.06530672206674842,0.5727810511917957,0.0025,0.9975
1,amr,exact_1d,ysplit_vs_exact,rho,0.003976774337784305,0.010523521785706645,0.08092527269649963,0.0025,0.9975
1,amr,exact_1d,ysplit_vs_exact,u,0.004945872115122859,0.027658701798758956,0.5749012424351279,0.0025,0.9975
1,amr,exact_1d,ysplit_vs_exact,p,0.002646975353091449,0.007382463144996038,0.10401423596811399,0.0025,0.9975
1,amr,exact_1d,ysplit_vs_exact,eint,0.01694695920075176,0.065306722066749,0.5727810511917961,0.0025,0.9975
1,amr,diag_xy,diag_xslice_vs_yslice,rho,0.0010760216839479373,0.0016179086541707871,0.004785933428735234,0.0025,0.9975
2,uniform,rotation_xy,xsplit_vs_ysplit,rho,0.0,0.0,0.0,0.00125,0.99875
2,uniform,rotation_xy,xsplit_vs_ysplit,u,0.0,0.0,0.0,0.00125,0.99875
2,uniform,rotation_xy,xsplit_vs_ysplit,p,0.0,0.0,0.0,0.00125,0.99875
2,uniform,rotation_xy,xsplit_vs_ysplit,eint,0.0,0.0,0.0,0.00125,0.99875
2,uniform,exact_1d,xsplit_vs_exact,rho,0.01305138559914371,0.01973085205454265,0.05548830954927064,0.00125,0.99875
2,uniform,exact_1d,xsplit_vs_exact,u,0.030127253778747635,0.03713392346567961,0.0993756885461021,0.00125,0.99875
2,uniform,exact_1d,xsplit_vs_exact,p,0.0060107853161981886,0.009136574014856654,0.02885412604050308,0.00125,0.99875
2,uniform,exact_1d,xsplit_vs_exact,eint,0.05883751198391146,0.10160648655360327,0.3206923979178166,0.00125,0.99875
2,uniform,exact_1d,ysplit_vs_exact,rho,0.01305138559914371,0.01973085205454265,0.05548830954927064,0.00125,0.99875
2,uniform,exact_1d,ysplit_vs_exact,u,0.030127253778747635,0.03713392346567961,0.0993756885461021,0.00125,0.99875
2,uniform,exact_1d,ysplit_vs_exact,p,0.0060107853161981886,0.009136574014856654,0.02885412604050308,0.00125,0.99875
2,uniform,exact_1d,ysplit_vs_exact,eint,0.05883751198391146,0.10160648655360327,0.3206923979178166,0.00125,0.99875
2,uniform,diag_xy,diag_xslice_vs_yslice,rho,0.0012124651564566235,0.0015279050124677553,0.0046004031055400935,0.00125,0.99875
2,amr,rotation_xy,xsplit_vs_ysplit,rho,1.0606362077042579e-15,1.7077507791613253e-15,7.771561172376096e-15,0.0025,0.9975
2,amr,rotation_xy,xsplit_vs_ysplit,u,1.194975475630039e-15,1.5071949417342526e-15,3.9968028886505635e-15,0.0025,0.9975
2,amr,rotation_xy,xsplit_vs_ysplit,p,3.5743411410421094e-16,6.472182412513102e-16,3.552713678800501e-15,0.0025,0.9975
2,amr,rotation_xy,xsplit_vs_ysplit,eint,1.0677953564259098e-15,1.4655955664346994e-15,5.440092820663267e-15,0.0025,0.9975
2,amr,exact_1d,xsplit_vs_exact,rho,0.008366737942465752,0.012393544248507984,0.03774901764085348,0.0025,0.9975
2,amr,exact_1d,xsplit_vs_exact,u,0.01948441320376363,0.027125881068016153,0.07101892033719469,0.0025,0.9975
2,amr,exact_1d,xsplit_vs_exact,p,0.003842470250055543,0.00571528351383754,0.020920608304537902,0.0025,0.9975
2,amr,exact_1d,xsplit_vs_exact,eint,0.0508408241042367,0.09360884854735052,0.2807531142272146,0.0025,0.9975
2,amr,exact_1d,ysplit_vs_exact,rho,0.008366737942465882,0.012393544248507894,0.03774901764085514,0.0025,0.9975
2,amr,exact_1d,ysplit_vs_exact,u,0.019484413203763432,0.02712588106801596,0.07101892033719326,0.0025,0.9975
2,amr,exact_1d,ysplit_vs_exact,p,0.0038424702500556335,0.00571528351383757,0.02092060830453929,0.0025,0.9975
2,amr,exact_1d,ysplit_vs_exact,eint,0.0508408241042369,0.09360884854735042,0.28075311422721494,0.0025,0.9975
2,amr,diag_xy,diag_xslice_vs_yslice,rho,0.002993959276733495,0.00410759836151949,0.013799450141270181,0.0025,0.9975
3,uniform,rotation_xy,xsplit_vs_ysplit,rho,0.0,0.0,0.0,0.00125,0.99875
3,uniform,rotation_xy,xsplit_vs_ysplit,u,0.0,0.0,0.0,0.00125,0.99875
3,uniform,rotation_xy,xsplit_vs_ysplit,p,0.0,0.0,0.0,0.00125,0.99875
3,uniform,rotation_xy,xsplit_vs_ysplit,eint,0.0,0.0,0.0,0.00125,0.99875
3,uniform,exact_1d,xsplit_vs_exact,rho,0.06107294403343206,0.28172659558231605,2.93467412142235,0.00125,0.99875
3,uniform,exact_1d,xsplit_vs_exact,u,0.21366333305908874,0.45586313774831216,7.563266160893253,0.00125,0.99875
3,uniform,exact_1d,xsplit_vs_exact,p,5.987663731766298,17.169149703998094,309.9197092372952,0.00125,0.99875
3,uniform,exact_1d,xsplit_vs_exact,eint,34.73780138676498,177.52175931578356,1607.8306753956376,0.00125,0.99875
3,uniform,exact_1d,ysplit_vs_exact,rho,0.06107294403343206,0.28172659558231605,2.93467412142235,0.00125,0.99875
3,uniform,exact_1d,ysplit_vs_exact,u,0.21366333305908874,0.45586313774831216,7.563266160893253,0.00125,0.99875
3,uniform,exact_1d,ysplit_vs_exact,p,5.987663731766298,17.169149703998094,309.9197092372952,0.00125,0.99875
3,uniform,exact_1d,ysplit_vs_exact,eint,34.73780138676498,177.52175931578356,1607.8306753956376,0.00125,0.99875
3,uniform,diag_xy,diag_xslice_vs_yslice,rho,0.01182654631844882,0.06097233099659563,0.5763144202352088,0.00125,0.99875
3,amr,rotation_xy,xsplit_vs_ysplit,rho,1.0789780577236837e-15,3.8722613198006226e-15,3.9968028886505635e-14,0.0025,0.9975
3,amr,rotation_xy,xsplit_vs_ysplit,u,1.7668350504227104e-14,2.716555448865573e-14,2.0250467969162855e-13,0.0025,0.9975
3,amr,rotation_xy,xsplit_vs_ysplit,p,3.2672309604250326e-13,5.027235695811121e-13,3.495870259939693e-12,0.0025,0.9975
3,amr,rotation_xy,xsplit_vs_ysplit,eint,1.2338865089627236e-12,1.7966279339218948e-12,7.048583938740194e-12,0.0025,0.9975
3,amr,exact_1d,xsplit_vs_exact,rho,0.05900999679990711,0.29607548715394977,3.256540997038371,0.0025,0.9975
3,amr,exact_1d,xsplit_vs_exact,u,0.2182922177169458,0.8698283381561761,15.919587325853593,0.0025,0.9975
3,amr,exact_1d,xsplit_vs_exact,p,5.03421053716496,14.43129061768071,277.2598437326479,0.0025,0.9975
3,amr,exact_1d,xsplit_vs_exact,eint,29.579357650446124,154.07750047039858,1512.4744378923199,0.0025,0.9975
3,amr,exact_1d,ysplit_vs_exact,rho,0.05900999679990707,0.29607548715394805,3.256540997038334,0.0025,0.9975
3,amr,exact_1d,ysplit_vs_exact,u,0.21829221771694618,0.8698283381561673,15.919587325853515,0.0025,0.9975
3,amr,exact_1d,ysplit_vs_exact,p,5.034210537164987,14.43129061768054,277.2598437326446,0.0025,0.9975
3,amr,exact_1d,ysplit_vs_exact,eint,29.57935765044622,154.07750047039858,1512.474437892321,0.0025,0.9975
3,amr,diag_xy,diag_xslice_vs_yslice,rho,0.04996858367630734,0.2021583698526568,1.4806821665134642,0.0025,0.9975
4,uniform,rotation_xy,xsplit_vs_ysplit,rho,0.0,0.0,0.0,0.00125,0.99875
4,uniform,rotation_xy,xsplit_vs_ysplit,u,0.0,0.0,0.0,0.00125,0.99875
4,uniform,rotation_xy,xsplit_vs_ysplit,p,0.0,0.0,0.0,0.00125,0.99875
4,uniform,rotation_xy,xsplit_vs_ysplit,eint,0.0,0.0,0.0,0.00125,0.99875
4,uniform,exact_1d,xsplit_vs_exact,rho,0.05773950761063323,0.28594782609278585,3.032235728378063,0.00125,0.99875
4,uniform,exact_1d,xsplit_vs_exact,u,0.05261704640379364,0.12180647968745174,2.0241302705534947,0.00125,0.99875
4,uniform,exact_1d,xsplit_vs_exact,p,0.47908376706622385,1.5110053088464797,27.780814780646377,0.00125,0.99875
4,uniform,exact_1d,xsplit_vs_exact,eint,3.7961791007676244,19.88371279951095,168.1084750614649,0.00125,0.99875
4,uniform,exact_1d,ysplit_vs_exact,rho,0.05773950761063323,0.28594782609278585,3.032235728378063,0.00125,0.99875
4,uniform,exact_1d,ysplit_vs_exact,u,0.05261704640379364,0.12180647968745174,2.0241302705534947,0.00125,0.99875
4,uniform,exact_1d,ysplit_vs_exact,p,0.47908376706622385,1.5110053088464797,27.780814780646377,0.00125,0.99875
4,uniform,exact_1d,ysplit_vs_exact,eint,3.7961791007676244,19.88371279951095,168.1084750614649,0.00125,0.99875
4,uniform,diag_xy,diag_xslice_vs_yslice,rho,0.009485942816901821,0.04603246293519162,0.3659368223916206,0.00125,0.99875
4,amr,rotation_xy,xsplit_vs_ysplit,rho,1.5973503727204982e-15,7.270728910997739e-15,9.947598300641403e-14,0.0025,0.9975
4,amr,rotation_xy,xsplit_vs_ysplit,u,4.187692105516055e-15,9.084457973313925e-15,1.176836406102666e-13,0.0025,0.9975
4,amr,rotation_xy,xsplit_vs_ysplit,p,3.260239951109525e-14,6.727590087845488e-14,8.313350008393172e-13,0.0025,0.9975
4,amr,rotation_xy,xsplit_vs_ysplit,eint,1.1074678449699598e-13,1.695060585677088e-13,5.968558980384842e-13,0.0025,0.9975
4,amr,exact_1d,xsplit_vs_exact,rho,0.05884734520533493,0.2994861137154805,3.568893108245756,0.0025,0.9975
4,amr,exact_1d,xsplit_vs_exact,u,0.06983543632642716,0.3052355841914271,5.230031510612026,0.0025,0.9975
4,amr,exact_1d,xsplit_vs_exact,p,0.49720772958748277,1.6463481167100147,31.030457624548795,0.0025,0.9975
4,amr,exact_1d,xsplit_vs_exact,eint,2.987394934500442,15.776115874609799,154.46455754153186,0.0025,0.9975
4,amr,exact_1d,ysplit_vs_exact,rho,0.05884734520533406,0.29948611371547595,3.568893108245694,0.0025,0.9975
4,amr,exact_1d,ysplit_vs_exact,u,0.06983543632642555,0.3052355841914212,5.230031510611974,0.0025,0.9975
4,amr,exact_1d,ysplit_vs_exact,p,0.4972077295874771,1.6463481167099743,31.03045762454824,0.0025,0.9975
4,amr,exact_1d,ysplit_vs_exact,eint,2.98739493450046,15.776115874609808,154.46455754153206,0.0025,0.9975
4,amr,diag_xy,diag_xslice_vs_yslice,rho,0.04797923488549838,0.23765418521400336,1.813832757115044,0.0025,0.9975
5,uniform,rotation_xy,xsplit_vs_ysplit,rho,0.0,0.0,0.0,0.00125,0.99875
5,uniform,rotation_xy,xsplit_vs_ysplit,u,0.0,0.0,0.0,0.00125,0.99875
5,uniform,rotation_xy,xsplit_vs_ysplit,p,0.0,0.0,0.0,0.00125,0.99875
5,uniform,rotation_xy,xsplit_vs_ysplit,eint,0.0,0.0,0.0,0.00125,0.99875
5,uniform,exact_1d,xsplit_vs_exact,rho,0.36596643187162264,2.0181648989925076,25.026665015118283,0.00125,0.99875
5,uniform,exact_1d,xsplit_vs_exact,u,0.10844151320471324,1.000068502077616,14.852018634949825,0.00125,0.99875
5,uniform,exact_1d,xsplit_vs_exact,p,14.821331001830854,123.30657946664904,1644.5117589377087,0.00125,0.99875
5,uniform,exact_1d,xsplit_vs_exact,eint,2.907652706253948,13.94095300560386,119.25670141761242,0.00125,0.99875
5,uniform,exact_1d,ysplit_vs_exact,rho,0.36596643187162264,2.0181648989925076,25.026665015118283,0.00125,0.99875
5,uniform,exact_1d,ysplit_vs_exact,u,0.10844151320471324,1.000068502077616,14.852018634949825,0.00125,0.99875
5,uniform,exact_1d,ysplit_vs_exact,p,14.821331001830854,123.30657946664904,1644.5117589377087,0.00125,0.99875
5,uniform,exact_1d,ysplit_vs_exact,eint,2.907652706253948,13.94095300560386,119.25670141761242,0.00125,0.99875
5,uniform,diag_xy,diag_xslice_vs_yslice,rho,0.1551797082066533,0.4697015912298983,2.0998388593733637,0.00125,0.99875
5,amr,rotation_xy,xsplit_vs_ysplit,rho,1.2679795839752925e-14,3.516032356835147e-14,3.730349362740526e-13,0.0025,0.9975
5,amr,rotation_xy,xsplit_vs_ysplit,u,4.368787261472672e-15,1.1349833823035906e-14,1.596500709410975e-13,0.0025,0.9975
5,amr,rotation_xy,xsplit_vs_ysplit,p,8.681017248044293e-13,1.9345140118761454e-12,1.546140993013978e-11,0.0025,0.9975
5,amr,rotation_xy,xsplit_vs_ysplit,eint,9.449099560506786e-14,2.0679808750455486e-13,1.9042545318370685e-12,0.0025,0.9975
5,amr,exact_1d,xsplit_vs_exact,rho,0.20489448871745233,0.9134855122189752,8.025322698727697,0.0025,0.9975
5,amr,exact_1d,xsplit_vs_exact,u,0.03327170929957171,0.32688802986872634,7.29891319154419,0.0025,0.9975
5,amr,exact_1d,xsplit_vs_exact,p,4.014808535908516,30.994646996548816,477.6462718675325,0.0025,0.9975
5,amr,exact_1d,xsplit_vs_exact,eint,2.2290446500210974,10.816248437242026,106.31409184110049,0.0025,0.9975
5,amr,exact_1d,ysplit_vs_exact,rho,0.2048944887174521,0.9134855122189722,8.025322698727676,0.0025,0.9975
5,amr,exact_1d,ysplit_vs_exact,u,0.03327170929957014,0.3268880298687196,7.29891319154403,0.0025,0.9975
5,amr,exact_1d,ysplit_vs_exact,p,4.014808535908657,30.994646996548735,477.64627186752955,0.0025,0.9975
5,amr,exact_1d,ysplit_vs_exact,eint,2.2290446500211245,10.816248437242074,106.31409184110046,0.0025,0.9975
5,amr,diag_xy,diag_xslice_vs_yslice,rho,0.12625633771567082,0.46056626556193525,3.626270945550587,0.0025,0.99875
