base_N,effective_N,max_level,cores,AMR_on,run_id,walltime_sec,level0_coverage_pct,level1_coverage_pct,level2_coverage_pct
768,3072,2,1,1,r1,315.358832,100.000000,8.160000,3.470000
768,3072,2,1,1,r2,315.0299775,100.000000,8.160000,3.470000
768,3072,2,1,1,r3,314.7360935,100.000000,8.160000,3.470000
768,3072,2,2,1,r1,178.9275632,100.000000,8.160000,3.470000
768,3072,2,2,1,r2,182.7572158,100.000000,8.160000,3.470000
768,3072,2,2,1,r3,183.8447231,100.000000,8.160000,3.470000
768,3072,2,4,1,r1,139.3586465,100.000000,8.160000,3.470000
768,3072,2,4,1,r2,137.454081,100.000000,8.160000,3.470000
768,3072,2,4,1,r3,139.0662629,100.000000,8.160000,3.470000
768,3072,2,8,1,r1,140.7632202,100.000000,8.160000,3.470000
768,3072,2,8,1,r2,141.0493163,100.000000,8.160000,3.470000
768,3072,2,8,1,r3,139.3726302,100.000000,8.160000,3.470000
768,3072,2,16,1,r1,165.719354,100.000000,8.160000,3.470000
768,3072,2,16,1,r2,167.0130615,100.000000,8.160000,3.470000
768,3072,2,16,1,r3,166.9668938,100.000000,8.160000,3.470000
