N,cores,AMR_on,run_id,walltime_sec
768,1,0,r1,69.45244896
768,1,0,r2,69.756103
768,1,0,r3,69.61782254
768,2,0,r1,38.33668317
768,2,0,r2,38.88219954
768,2,0,r3,39.09868508
768,4,0,r1,26.43206246
768,4,0,r2,27.30698308
768,4,0,r3,28.33338258
768,8,0,r1,27.34153667
768,8,0,r2,28.03494354
768,8,0,r3,29.88014304
768,16,0,r1,33.60231417
768,16,0,r2,33.82376679
768,16,0,r3,36.16098433
1536,1,0,r1,572.0700452
1536,1,0,r2,573.4422698
1536,1,0,r3,573.0834453
1536,2,0,r1,336.4666567
1536,2,0,r2,348.8230212
1536,2,0,r3,351.2746012
1536,4,0,r1,255.6708756
1536,4,0,r2,254.7642479
1536,4,0,r3,255.2722118
1536,8,0,r1,254.307926
1536,8,0,r2,210.9210715
1536,8,0,r3,191.7152612
1536,16,0,r1,205.9889349
1536,16,0,r2,206.6950246
1536,16,0,r3,205.6207765
3072,1,0,r1,4683.593341
3072,1,0,r2,4595.165286
3072,1,0,r3,4581.975855
3072,2,0,r1,2521.866665
3072,2,0,r2,2587.474404
3072,2,0,r3,2591.056785
3072,4,0,r1,1784.47783
3072,4,0,r2,1794.469098
3072,4,0,r3,1816.640787
3072,8,0,r1,1439.620735
3072,8,0,r2,1476.047915
3072,8,0,r3,1473.93516
3072,16,0,r1,1509.996466
3072,16,0,r2,1547.495042
3072,16,0,r3,1509.300888
